Date;currency_code;Country;dollar_price;GDP pro capite;How_may_burgers_pro capite;size
01/04/2000;ARS;Argentina;2,500;7.708,10 ;3083,24;0,30832404
01/04/2000;AUD;Australia;1,542;24.564,46 ;15933,70;1,593370268
01/04/2000;BRL;Brazil;1,648;3.749,75 ;2275,27;0,227527401
01/04/2000;GBP;Britain;3,002;28.149,87 ;9377,04;0,937703864
01/04/2000;CAD;Canada;1,939;24.190,25 ;12477,08;1,247707612
01/04/2000;CLP;Chile;2,451;5.074,90 ;2070,24;0,207023765
01/04/2000;CNY;China;1,196;959,37 ;802,38;0,080238426
01/04/2000;CZK;Czech Republic;1,391;6.011,62 ;4323,23;0,432323258
01/04/2000;DKK;Denmark;3,078;30.743,55 ;9986,99;0,998699488
01/04/2000;EUR;Euro area;2,381;20.166,57 ;8470,50;0,847050038
01/04/2000;HKD;Hong Kong;1,309;25.756,66 ;19671,02;1,967102067
01/04/2000;HUF;Hungary;1,215;4.624,28 ;3805,82;0,380582473
01/04/2000;IDR;Indonesia;1,825;780,19 ;427,49;0,042749042
01/04/2000;ILS;Israel;3,580;21.043,57 ;5877,69;0,587768817
01/04/2000;JPY;Japan;2,774;38.532,04 ;13892,50;1,389250453
01/04/2000;MYR;Malaysia;1,189;4.043,66 ;3399,54;0,339953889
01/04/2000;MXN;Mexico;2,221;7.157,81 ;3222,73;0,322272892
01/04/2000;NZD;New Zealand;1,692;13.641,10 ;8064,30;0,806429896
01/04/2000;PLN;Poland;1,279;4.492,73 ;3512,50;0,351249613
01/04/2000;RUB;Russia;1,386;1.771,60 ;1278,24;0,127824147
01/04/2000;SGD;Singapore;1,882;23.852,33 ;12671,55;1,267154873
01/04/2000;ZAR;South Africa;1,339;3.032,43 ;2264,21;0,226421226
01/04/2000;KRW;South Korea;2,708;11.947,58 ;4412,64;0,441263922
01/04/2000;SEK;Sweden;2,715;29.456,07 ;10849,65;1,084965195
01/04/2000;CHF;Switzerland;3,471;37.868,30 ;10911,20;1,091120393
01/04/2000;THB;Thailand;1,447;2.007,74 ;1387,16;0,138716331
01/04/2000;USD;United States;2,510;36.334,91 ;14476,06;1,447605927
01/04/2001;ARS;Argentina;2,500;7.208,37 ;2883,35;0,288334863
01/04/2001;AUD;Australia;1,515;24.537,51 ;16194,76;1,619475941
01/04/2001;BRL;Brazil;1,644;3.156,80 ;1920,39;0,192038589
01/04/2001;GBP;Britain;2,846;27.744,51 ;9749,62;0,97496245
01/04/2001;CAD;Canada;2,135;23.738,18 ;11120,59;1,112058917
01/04/2001;CLP;Chile;2,097;4.574,59 ;2182,01;0,218200893
01/04/2001;CNY;China;1,196;1.053,11 ;880,78;0,088078144
01/04/2001;CZK;Czech Republic;1,436;6.609,21 ;4602,84;0,460283957
01/04/2001;DKK;Denmark;2,926;30.751,65 ;10511,47;1,051147458
01/04/2001;EUR;Euro area;2,262;20.433,21 ;9034,85;0,90348472
01/04/2001;HKD;Hong Kong;1,372;25.230,22 ;18392,12;1,839212032
01/04/2001;HUF;Hungary;1,317;5.276,03 ;4006,61;0,400661167
01/04/2001;IDR;Indonesia;1,354;748,26 ;552,54;0,055253989
01/04/2001;JPY;Japan;2,371;20.306,93 ;8564,83;0,856482856
01/04/2001;MYR;Malaysia;1,189;33.846,47 ;28454,99;2,845499324
01/04/2001;MXN;Mexico;2,357;7.544,57 ;3200,41;0,320041291
01/04/2001;NZD;New Zealand;1,457;13.882,86 ;9525,18;0,952518232
01/04/2001;PHP;Philippines;1,173;957,19 ;816,04;0,081604498
01/04/2001;PLN;Poland;1,464;4.981,20 ;3402,41;0,340241194
01/04/2001;RUB;Russia;1,211;2.100,36 ;1734,30;0,173429581
01/04/2001;SGD;Singapore;1,823;21.700,02 ;11902,13;1,190213221
01/04/2001;ZAR;South Africa;1,193;2.666,47 ;2234,89;0,223489083
01/04/2001;KRW;South Korea;2,264;11.252,91 ;4970,03;0,497003417
01/04/2001;SEK;Sweden;2,335;27.093,08 ;11604,87;1,160486974
01/04/2001;CHF;Switzerland;3,642;38.538,98 ;10582,93;1,058292601
01/04/2001;THB;Thailand;1,209;1.893,27 ;1566,25;0,156624924
01/04/2001;USD;United States;2,540;37.133,24 ;14619,39;1,461938693
01/04/2002;ARS;Argentina;0,799;2.593,40 ;3246,94;0,3246942
01/04/2002;AUD;Australia;1,613;2.593,40 ;1607,91;0,160791057
01/04/2002;BRL;Brazil;1,538;26.401,75 ;17161,13;1,716113455
01/04/2002;GBP;Britain;2,886;2.829,28 ;980,52;0,098051748
01/04/2002;CAD;Canada;2,121;30.056,59 ;14170,82;1,417082293
01/04/2002;CLP;Chile;2,137;24.169,28 ;11307,77;1,13077725
01/04/2002;CNY;China;1,268;4.446,25 ;3506,19;0,350618611
01/04/2002;CZK;Czech Republic;1,655;1.148,51 ;693,84;0,069383941
01/04/2002;DKK;Denmark;2,953;8.032,90 ;2719,83;0,27198252
01/04/2002;EUR;Euro area;2,376;33.228,69 ;13983,37;1,398337481
01/04/2002;HKD;Hong Kong;1,400;22.109,87 ;15792,77;1,579276561
01/04/2002;HUF;Hungary;1,688;24.665,89 ;14616,82;1,46168237
01/04/2002;IDR;Indonesia;1,697;6.655,33 ;3922,49;0,392248689
01/04/2002;ILS;Israel;2,505;900,18 ;359,32;0,035932088
01/04/2002;JPY;Japan;2,015;18.435,89 ;9147,58;0,914758137
01/04/2002;MYR;Malaysia;1,326;32.289,35 ;24345,15;2,434514525
01/04/2002;MXN;Mexico;2,360;7.593,14 ;3217,55;0,32175488
01/04/2002;NZD;New Zealand;1,607;16.874,19 ;10499,49;1,049949444
01/04/2002;NOK;Norway;4,089;43.084,47 ;10537,23;1,053723098
01/04/2002;PEN;Peru;2,478;2.021,24 ;815,63;0,081562968
01/04/2002;PHP;Philippines;1,275;999,91 ;784,54;0,078454159
01/04/2002;PLN;Poland;1,460;5.196,93 ;3558,58;0,35585778
01/04/2002;RUB;Russia;1,250;2.377,54 ;1902,03;0,190202957
01/04/2002;SGD;Singapore;1,813;22.159,69 ;12221,40;1,222140416
01/04/2002;ZAR;South Africa;0,890;2.502,28 ;2811,84;0,281183705
01/04/2002;KRW;South Korea;2,377;12.782,53 ;5376,91;0,537690752
01/04/2002;SEK;Sweden;2,500;29.729,72 ;11891,89;1,189188774
01/04/2002;CHF;Switzerland;3,795;41.376,37 ;10902,35;1,090234585
01/04/2002;THB;Thailand;1,270;2.096,19 ;1650,27;0,165027164
01/04/2002;TRY;Turkey;3,020;3.659,94 ;1211,90;0,121189759
01/04/2002;USD;United States;2,490;38.023,16 ;15270,35;1,527034583
01/04/2003;ARS;Argentina;1,424;3.349,81 ;2353,03;0,235303455
01/04/2003;AUD;Australia;1,863;32.222,90 ;17292,95;1,729295485
01/04/2003;BRL;Brazil;1,482;3.070,91 ;2072,02;0,207202092
01/04/2003;GBP;Britain;3,144;34.419,15 ;10946,87;1,094686976
01/04/2003;CAD;Canada;2,207;28.200,66 ;12778,42;1,277842319
01/04/2003;CLP;Chile;1,955;4.772,56 ;2440,82;0,244082498
01/04/2003;CNY;China;1,196;1.288,64 ;1077,77;0,107777436
01/04/2003;CZK;Czech Republic;1,957;9.773,12 ;4992,81;0,499280707
01/04/2003;DKK;Denmark;4,093;40.458,78 ;9885,06;0,988506345
01/04/2003;EGP;Egypt;1,351;1.138,66 ;842,61;0,084261186
01/04/2003;EUR;Euro area;2,981;27.134,91 ;9102,62;0,910262069
01/04/2003;HKD;Hong Kong;1,474;23.977,02 ;16262,67;1,626267406
01/04/2003;HUF;Hungary;2,188;8.421,10 ;3849,65;0,384964723
01/04/2003;IDR;Indonesia;1,842;1.065,65 ;578,49;0,057849492
01/04/2003;JPY;Japan;2,183;34.808,39 ;15942,77;1,594277447
01/04/2003;MYR;Malaysia;1,326;4.461,85 ;3364,09;0,336409151
01/04/2003;MXN;Mexico;2,184;7.075,37 ;3239,29;0,32392888
01/04/2003;NZD;New Zealand;2,219;21.913,71 ;9875,04;0,987503811
01/04/2003;PEN;Peru;2,283;2.145,64 ;939,74;0,093973739
01/04/2003;PHP;Philippines;1,238;1.010,31 ;816,02;0,081601932
01/04/2003;PLN;Poland;1,620;5.693,38 ;3515,43;0,351543484
01/04/2003;RUB;Russia;1,318;2.975,13 ;2256,75;0,225674706
01/04/2003;SGD;Singapore;1,854;23.730,15 ;12799,90;1,279990041
01/04/2003;ZAR;South Africa;1,845;3.751,28 ;2032,95;0,203295327
01/04/2003;KRW;South Korea;2,705;14.209,39 ;5253,17;0,525316788
01/04/2003;SEK;Sweden;3,597;37.090,94 ;10311,28;1,03112817
01/04/2003;CHF;Switzerland;4,599;48.087,54 ;10457,13;1,045713253
01/04/2003;THB;Thailand;1,382;2.359,12 ;1707,36;0,170736058
01/04/2003;TRY;Turkey;2,343;4.718,20 ;2013,73;0,201372768
01/04/2003;USD;United States;2,710;39.496,49 ;14574,35;1,457434903
